"pair_number","opponents","pre_rating"
1,39,1436
1,21,1563
1,18,1600
1,14,1610
1,7,1649
1,12,1663
1,4,1716
2,63,1175
2,58,917
2,4,1716
2,17,1629
2,16,1604
2,20,1595
2,7,1649
3,8,1641
3,61,955
3,25,1745
3,21,1563
3,11,1712
3,13,1666
3,12,1663
4,23,1363
4,28,1507
4,2,1553
4,26,1579
4,5,1655
4,19,1564
4,1,1794
5,45,1242
5,37,980
5,12,1663
5,13,1666
5,4,1716
5,14,1610
5,17,1629
6,34,1399
6,29,1602
6,11,1712
6,35,1438
6,10,1365
6,27,1552
6,21,1563
7,57,1092
7,46,377
7,13,1666
7,11,1712
7,1,1794
7,9,1411
7,2,1553
8,3,1384
8,32,1441
8,14,1610
8,9,1411
8,47,1362
8,28,1507
8,19,1564
9,25,1745
9,18,1600
9,59,853
9,8,1641
9,26,1579
9,7,1649
9,20,1595
10,16,1604
10,19,1564
10,55,1186
10,31,1494
10,6,1686
10,25,1745
10,18,1600
11,38,1423
11,56,1153
11,6,1686
11,7,1649
11,3,1384
11,34,1399
11,26,1579
12,42,1332
12,33,1449
12,5,1655
12,38,1423
12,1,1794
12,3,1384
13,36,1355
13,27,1552
13,7,1649
13,5,1655
13,33,1449
13,3,1384
13,32,1441
14,54,1270
14,44,1199
14,8,1641
14,1,1794
14,27,1552
14,5,1655
14,31,1494
15,19,1564
15,16,1604
15,30,1522
15,22,1555
15,54,1270
15,33,1449
15,38,1423
16,10,1365
16,15,1220
16,39,1436
16,2,1553
16,36,1355
17,48,1382
17,41,1403
17,26,1579
17,2,1553
17,23,1363
17,22,1555
17,5,1655
18,47,1362
18,9,1411
18,1,1794
18,32,1441
18,19,1564
18,38,1423
18,10,1365
19,15,1220
19,10,1365
19,52,935
19,28,1507
19,18,1600
19,4,1716
19,8,1641
20,40,1348
20,49,1291
20,23,1363
20,41,1403
20,28,1507
20,2,1553
20,9,1411
21,43,1283
21,1,1794
21,47,1362
21,3,1384
21,40,1348
21,39,1436
21,6,1686
22,64,1163
22,52,935
22,28,1507
22,15,1220
22,17,1629
22,40,1348
23,4,1716
23,43,1283
23,20,1595
23,58,917
23,17,1629
23,37,980
23,46,377
24,28,1507
24,47,1362
24,43,1283
24,25,1745
24,60,967
24,44,1199
24,39,1436
25,9,1411
25,53,1393
25,3,1384
25,24,1229
25,34,1399
25,10,1365
25,47,1362
26,49,1291
26,40,1348
26,17,1629
26,4,1716
26,9,1411
26,32,1441
26,11,1712
27,51,1011
27,13,1666
27,46,377
27,37,980
27,14,1610
27,6,1686
28,24,1229
28,4,1716
28,22,1555
28,19,1564
28,20,1595
28,8,1641
28,36,1355
29,50,1056
29,6,1686
29,38,1423
29,34,1399
29,52,935
29,48,1382
30,52,935
30,64,1163
30,15,1220
30,55,1186
30,31,1494
30,61,955
30,50,1056
31,58,917
31,55,1186
31,64,1163
31,10,1365
31,30,1522
31,50,1056
31,14,1610
32,61,955
32,8,1641
32,44,1199
32,18,1600
32,51,1011
32,26,1579
32,13,1666
33,60,967
33,12,1663
33,50,1056
33,36,1355
33,13,1666
33,15,1220
33,51,1011
34,6,1686
34,60,967
34,37,980
34,29,1602
34,25,1745
34,11,1712
34,52,935
35,46,377
35,38,1423
35,56,1153
35,6,1686
35,57,1092
35,52,935
35,48,1382
36,13,1666
36,57,1092
36,51,1011
36,33,1449
36,16,1604
36,28,1507
37,5,1655
37,34,1399
37,27,1552
37,23,1363
37,61,955
38,11,1712
38,35,1438
38,29,1602
38,12,1663
